Bab;Padişah Dönemi;Kişi;Sosyal Grup;İlişki Ağı (Genelde Kadınlar);NA Aile ilişkisi;NA Aile İlişkisi;NA Gelecek Nesil;Cinsiyet;Karar(Direkt);Karar (dolaylı);Etken Aktör;Sıfat-Söylem;Sıfat Değeri;Bizden;Öteki;Yaş;Ölüm Nedeni;;;;;;;;;;;;;;;
9;Osman Gazi;Gündüz;Gazi;;Ertuğrul Gazni'nin Oğlu;Osman Gazi'nin Kardeşi;;Erkek;Fetih Yöntemi;n/a;0;n/a;n/a;Evet;-;n/a;;;;;;;;;;;;;;;;
9;Osman Gazi;Bilecük;Tekür;;;;;Erkek;n/a;n/a;n/a;Dostlık;Olumlu;-;Evet;n/a;;;;;;;;;;;;;;;;
9;Osman Gazi;Köse Mihal;Beg;;;;;Erkek;n/a;n/a;n/a;Dostlık;Olumlu;-;Evet;n/a;;;;;;;;;;;;;;;;
9;Osman Gazi;n/a;n/a;;;;;n/a;n/a;n/a;n/a;Ceng;Olumsuz;-;Evet;n/a;;;;;;;;;;;;;;;;
9;Osman Gazi;n/a;n/a;;;;;n/a;n/a;n/a;n/a;Adâvet;Olumsuz;-;;n/a;;;;;;;;;;;;;;;;
9;Osman Gazi;Osman Gazi;Gazi;;;;;Erkek;n/a;n/a;n/a;Adil;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
10;Osman Gazi;n/a;Kâfir;;;;;n/a;n/a;n/a;n/a;Hidmetkar;Olumlu;-;Evet;n/a;;;;;;;;;;;;;;;;
10;Osman Gazi;Köse Mihal;Gazi;;Osman Gazi'nin Silah Arkadaşı;Paleologos Hanedanı;Mihaloğulları;Erkek;Ceng Yönü;n/a;1;Kılaguz/vuz;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
10;Osman Gazi;Samsa Çavuş;Gazi;;;;;Erkek;n/a;n/a;n/a;Hazır ;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
10;Osman Gazi;Samsa Çavuş;Gazi;;;;;Erkek;n/a;n/a;n/a;Müheyya;Olumlu;Evet;;n/a;;;;;;;;;;;;;;;;
10;Osman Gazi;Samsa Çavuş;Gazi;;;;;Erkek;n/a;n/a;n/a;Yoldaş;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
10;Osman Gazi;n/a;Kâfir;;;;;n/a;n/a;n/a;n/a;Müdara;Olumlu;-;Evet;n/a;;;;;;;;;;;;;;;;
10;Osman Gazi;n/a;Kâfir;;;;;n/a;n/a;n/a;n/a;Hürmet;Olumlu;-;;n/a;;;;;;;;;;;;;;;;
10;Osman Gazi;n/a;Kâfir;;;;;n/a;n/a;n/a;n/a;Komşu;Olumlu;-;;n/a;;;;;;;;;;;;;;;;
10;Osman Gazi;Bişteş;Şeyh;;Yol Üstü;;;Erkek;Su geçidi;n/a;1;n/a;n/a;Evet;n/a;n/a;;;;;;;;;;;;;;;;
11;Osman Gazi;Köse Mihal Kızı;n/a;;;;;Kadın;n/a;n/a;n/a;n/a;n/a;Evet;-;n/a;;;;;;;;;;;;;;;;
11;Osman Gazi;Gül Falanozuglu Begi;Beg;;;;;Erkek;n/a;n/a;n/a;Türk begi;n/a;Evet;-;n/a;;;;;;;;;;;;;;;;
12;Osman Gazi;Yarhisâr teküri;Tekür;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;-;Evet;n/a;;;;;;;;;;;;;;;;
12;Osman Gazi;Aya Nikola;Tekür;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;-;Evet;n/a;;;;;;;;;;;;;;;;
12;Osman Gazi;Turgut Alp;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;n/a;;;;;;;;;;;;;;;;
13;Osman Gazi;Lü'lüfer;n/a;;;;;Kadın;n/a;n/a;n/a;Selatin ankalar hatun dogurdı;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
13;Osman Gazi;Orhan Gāzi;Gazi;;;;;Erkek;n/a;n/a;n/a;Yigit;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
13;Osman Gazi;Süleyman Paşa;Gazi;;;;;Erkek;n/a;n/a;n/a;n/a;n/a;Evet;-;n/a;;;;;;;;;;;;;;;;
14;Osman Gazi;Tursun Fakıh;Anlatıcı;;;;;Erkek;n/a;n/a;n/a;Aziz;Olumlu;Evet;-;n/a;;;;;;;;;;;;;;;;
14;Osman Gazi;Tursun Fakıh;Anlatıcı;;;;;Erkek;n/a;n/a;n/a;Halka imamlık iden;Olumlu;Evet;;n/a;;;;;;;;;;;;;;;;
