Bâb,Sultan,Nesne,Sahibi,Nitelik,Eylem,Kime / Kimden
164.0,Bayezid II,Kılıç,Gaziler,Seyfiye,Ganimet,Kafirler
164.0,Bayezid II,Altın,Gaziler,Kâlâ,Ganimet,Kafirler
164.0,Bayezid II,Gümüş,Gaziler,Kâlâ,Ganimet,Kafirler
164.0,Bayezid II,Kumaş,Gaziler,Kâlâ,Ganimet,Kafirler
164.0,Bayezid II,Tavar,Gaziler,Binek Hayvan,Ganimet,Kafirler
165.0,Bayezid II,Medrese,Bayezid II,Taşınılmaz / Toprak,Sahiplik,
165.0,Bayezid II,İmaret,Bayezid II,Taşınılmaz / Toprak,Sahiplik,
165.0,Bayezid II,Köprü,Bayezid II,Taşınılmaz / Toprak,Sahiplik,
165.0,Bayezid II,İmaret,Bayezid II,Taşınılmaz / Toprak,Sahiplik,
165.0,Bayezid II,Medrese,Bayezid II,Taşınılmaz / Toprak,Sahiplik,
165.0,Bayezid II,Timarhane,Bayezid II,Taşınılmaz / Toprak,Sahiplik,
166.0,Bayezid II,At,Bayezid II,Binek Hayvan,Sahiplik,
166.0,Bayezid II,Cami,Hayreddin Paşa,Taşınılmaz / Toprak,Sahiplik,
166.0,Bayezid II,İmaret,Hayreddin Paşa,Taşınılmaz / Toprak,Sahiplik,
168.0,Bayezid II,Kılıç,Al-i Osman,Seyfiye,Sahiplik,
171.0,Mehmed II,Sikke,Mehmed II,İktidar,Sahiplik,
171.0,Mehmed II,Taht,Mehmed II,İktidar,Sahiplik,
172.0,Mehmed II,Börk,Yeniçeri,Seyfiye,Sahiplik,
172.0,Mehmed II,Mektub,Mısır Sultanı,İletişim,Gönderme,Mehmed II
172.0,Mehmed II,Hediye,Mısır Sultanı,Kâlâ,İsâr,Mehmed II
173.0,Mehmed II,Hediye,Mısır Sultanı,Kâlâ,İsâr,Mehmed II
173.0,Mehmed II,Taht,Mısır Sultanı,İktidar,Sahiplik,
173.0,Mehmed II,Filori,Mısır Sultanı,Kâlâ,İsâr,Türkmenler
176.0,Mehmed II,Taht,Mehmed II,İktidar,Sahiplik,
177.0,Bayezid II,Taht,Bayezid II,İktidar,Sahiplik,
177.0,Bayezid II,Etek,Bayezid II,Kâlâ,Sahiplik,
177.0,Bayezid II,Ok,Arap Beyleri,Seyfiye,Sahiplik,
179.0,Bayezid II,Sancak,Bayezid II,İktidar,Sahiplik,
180.0,Bayezid II,Azık,Sipahi,Erzak,Sahiplik,
180.0,Bayezid II,Yarak,Sipahi,Seyfiye,Sahiplik,
